Region,Country_code,Name,Sector,Substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India +,AFG,Afghanistan,Non-energy use of lubricants/waxes (CO2),CO2,2.281385681,2.281385681,2.566558891,2.780438799,2.780438799,3.136905311,1.924919168,1.782332563,3.279491916,3.058822171,3.276096997,3.208663415,3.85197647,4.285423729,3.890764706,2.5662,2.44704015,2.279838831,2.884201757,2.660097073,3.27302961,3.383256648,1.997670782,2.099239381,1.965388584,1.555247884,1.516083407,1.478352653,1.315927655,1.397998075,0.863992254,0.783891688,0.726133535,0.966210606,0.927407469,1.721363937,2.496767531,3.02771593,7.461403587,13.16170179,14.59211517,18.35127681,37.60878103,40.09690168,14.82685899,11.45187148,17.14090013,10.48843222,9.216867493,7.692627661,8.02621969,8.07715617,6.184021352,4.75783818
India +,AFG,Afghanistan,Solvent and other product use: paint,CO2,7.4331224,7.6357886,7.846113,8.0575506,8.2615324,8.4502,8.6273374,8.7905224,8.9189474,8.985812,8.975318,8.8834768,8.7265068,8.534988,8.3510746,8.2098082,8.109728,8.0543232,8.088058,8.2656112,8.6196,9.181612,9.9261646,10.7584444,11.5462974,12.197449,12.6708318,13.0010496,13.263734,13.572108,14.0064826,14.5901712,15.2915532,16.0699374,16.862439,17.6229548,18.3994635,19.16797575,19.94048623,20.71099759,21.48150895,22.25202031,23.02253168,23.63894077,24.25534986,24.87175895,25.54980894,26.24634384,26.96186755,27.62645291,,,,
India +,AFG,Afghanistan,Solvent and other product use: degrease,CO2,0.234407496,0.240553105,0.246959961,0.25340474,0.259592486,0.265255632,0.270522696,0.275309403,0.27889522,0.280348929,0.27912065,0.275024982,0.268611805,0.261020914,0.253811357,0.248247231,0.244412809,0.242343907,0.243146607,0.248133463,0.258067144,0.273754566,0.294559466,0.318027394,0.340730544,0.360256601,0.375497376,0.387268209,0.397431535,0.408802071,0.423341273,0.441727538,0.463078106,0.485937161,0.508145207,0.528197971,0.545530823,0.560769491,0.575036912,0.590001692,0.60683312,0.625908317,0.646732179,0.668531501,0.690153849,0.710769135,0.730141395,0.748557155,0.766319294,0.783928793,0.801751145,0.819850018,0.838095126,0.856403438
India +,AFG,Afghanistan,Solvent and other product use: other,CO2,19.8099715,20.1219788,20.44441564,21.37149333,22.11035816,22.652674,23.2298341,23.454596,23.71646805,23.7105418,23.42778735,23.16062265,22.62576031,21.98763161,21.4454174,20.82141105,20.47117985,20.2637083,20.4022159,20.7838334,21.6888397,23.04630515,24.58814767,26.42645179,28.29046587,29.86712556,31.20218247,32.30822894,33.30460987,34.08699849,34.71350505,35.72060185,37.45073907,39.0192194,40.88002545,42.39829331,43.3346254,44.54802345,45.87463155,47.01032785,48.25254533,49.6431772,51.09653228,52.57495041,54.02376407,55.44367036,56.85341919,58.36161739,59.63475205,61.12513198,62.33986992,63.53078378,64.88589286,66.21794656
India +,AFG,Afghanistan,Other direct soil emissions,CO2,29.22856714,29.22856714,29.22856714,29.22856714,39.96666081,45.30951687,50.59999263,61.44284837,58.92856311,55.47142089,61.3380855,47.299993,62.80475182,60.39522898,87.00474902,87.73808241,81.3476057,88.68094041,79.56665315,79.77617685,69.40474936,68.46189319,62.5428468,62.85713143,,,7.857141429,7.857141429,8.642855571,7.857141429,7.857141429,38.02856617,32.68570834,36.14285057,40.85713543,50.285708,,,,,,,62.85713143,55.15713283,84.4904609,116.9666459,163.0094949,311.2999445,161.3333051,151.2761648,64.7952275,46.69237378,23.61711546,15.14236682
Southern_Africa,AGO,Angola,Public electricity and heat production,CO2,137.5842869,137.5842869,159.2676507,168.7963075,371.818686,352.9558524,346.5388072,346.5388072,346.5388072,386.9880937,399.822184,399.822184,421.9910801,459.5229021,117.3568738,160.917764,204.478337,173.3635525,260.4850079,244.9276157,291.5997925,244.9276157,172.5869621,125.2354172,175.0191978,171.907594,197.0905466,416.6296782,385.1262805,621.1076966,728.5482618,820.6249607,820.6249607,1027.529371,662.7218756,597.186554,641.9120196,1008.181325,1253.394156,2229.295796,2365.710287,2226.184192,2476.564595,3859.8645,5514.136468,5913.158969,4005.351044,3878.984008,3452.759057,4468.322489,3561.321654,4037.909269,4470.247944,4544.642388
Southern_Africa,AGO,Angola,Other Energy Industries,CO2,74.80507968,74.80507968,74.80507968,83.11689216,121.9045306,80.34620544,85.8873312,105.2813952,113.59296,127.4456563,138.5279078,138.5279078,113.59296,146.8397203,155.1512851,163.4630976,163.4630976,177.3157882,166.2335366,182.8569139,185.6276006,191.1687264,199.4802912,182.8569139,205.021417,207.7921037,210.5625485,216.1036742,202.2509779,224.415239,207.7921037,216.1036742,224.415239,193.9391654,205.021417,207.7921037,199.4802912,207.7921037,205.021417,238.2681773,241.0386163,216.1036742,227.1859258,338.8628,326.637839,293.6794349,370.6978694,1033.09287,1036.964895,1121.879735,1224.799635,967.6620284,903.8008455,816.1209361
Southern_Africa,AGO,Angola,Manufacturing Industries and Construction,CO2,258.9651219,258.9651219,317.5969788,358.2922577,326.9123019,308.5084771,307.6059891,307.271381,453.510794,413.0615153,425.3306807,450.4747624,425.5828682,435.1693276,704.4109097,850.9050994,756.0894227,829.8645835,792.8309153,846.5111002,1765.233281,1628.629652,1712.921404,2190.927263,1627.775813,1796.080833,1885.326274,1737.290393,1298.65922,1480.888885,1572.960202,1616.535416,1776.08107,1831.676617,2102.484287,1715.740827,1956.317808,2266.999027,2092.914358,2184.653918,2337.764854,2420.436537,2215.934316,1622.828685,1459.752809,2204.239044,2479.140048,1360.252866,1931.737397,1508.505628,1253.02471,1572.606217,1598.436356,1506.068108
Southern_Africa,AGO,Angola,Domestic aviation,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001.314457,1061.903557,739.8247213,656.9135287,660.1022714,963.0477571,679.2356285,711.124843,736.6359787,169.0117215,175.3895072,165.8226785,140.3115428,114.8004072,128.1651657,66.915992,16.03052165,12.2197218,10.68911415,13.16763516,15.27570037
Southern_Africa,AGO,Angola,Road transportation no resuspension,CO2,1026.186086,1026.186086,1715.476478,1447.518111,1301.89974,1098.435902,1107.022658,648.8138899,1333.049829,1055.154573,996.0507781,871.8529618,855.914322,777.051393,702.4120711,1039.411724,1026.058069,1041.996709,1242.887445,1303.953325,1016.536184,1257.38385,1187.004022,1211.945004,1540.968959,1070.873709,987.9711077,1052.141848,834.1818628,1156.568674,1074.497818,1204.489162,1477.825166,1426.397313,2301.074172,1675.978545,2588.124406,3187.979294,4192.812316,5033.087145,4924.357081,5484.994399,6514.616334,7449.661164,7699.786586,7778.477491,7740.854467,6552.922566,6844.881935,7876.619658,3870.856676,7051.375766,8080.44127,8443.657245
Southern_Africa,AGO,Angola,Inland navigation,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.5907586,89.54784825,60.76775955,48.12782403,48.03091302,48.03091302,44.91930144,48.12782403,54.54486921,57.75338439,73.79630856,73.79630856,64.17074079,57.75338439,40.14840258,34.37293743,41.23610907,16.6779834,27.98474679,39.7923447,37.78469221
